sampleID,Colony,Treatment,Time
C00ECK5,daisy,Control,00m
C00ECK6,daisy,Control,00m
C00ECK40,dahlia,Control,00m
C00ECK77,violet,Control,00m
C10ECK7,daisy,Control,10m
C10ECK8,daisy,Control,10m
C10ECK43,dahlia,Control,10m
C10ECK44,dahlia,Control,10m
C10ECK45,dahlia,Control,10m
C10ECK79,violet,Control,10m
C10ECK80,violet,Control,10m
C10ECK81,violet,Control,10m
C30ECK10,daisy,Control,30m
C30ECK11,daisy,Control,30m
C30ECK12,daisy,Control,30m
C30ECK46,dahlia,Control,30m
C30ECK47,dahlia,Control,30m
C30ECK48,dahlia,Control,30m
C30ECK83,violet,Control,30m
C30ECK84,violet,Control,30m
C120ECK13,daisy,Control,120m
C120ECK14,daisy,Control,120m
C120ECK15,daisy,Control,120m
C120ECK49,dahlia,Control,120m
C120ECK50,dahlia,Control,120m
C120ECK51,dahlia,Control,120m
C120ECK85,violet,Control,120m
C120ECK87,violet,Control,120m
C720ECK16,daisy,Control,720m
C720ECK17,daisy,Control,720m
C720ECK52,dahlia,Control,720m
C720ECK53,dahlia,Control,720m
C720ECK54,dahlia,Control,720m
C720ECK88,violet,Control,720m
C720ECK89,violet,Control,720m
T00ECK22,daisy,Cold,00m
T00ECK23,daisy,Cold,00m
T00ECK24,daisy,Cold,00m
T00ECK59,dahlia,Cold,00m
T00ECK60,dahlia,Cold,00m
T00ECK94,violet,Cold,00m
T00ECK95,violet,Cold,00m
T00ECK96,violet,Cold,00m
T10ECK25,daisy,Cold,10m
T10ECK26,daisy,Cold,10m
T10ECK27,daisy,Cold,10m
T10ECK61,dahlia,Cold,10m
T10ECK62,dahlia,Cold,10m
T10ECK97,violet,Cold,10m
T10ECK99,violet,Cold,10m
T30ECK28,daisy,Cold,30m
T30ECK29,daisy,Cold,30m
T30ECK64,dahlia,Cold,30m
T30ECK65,dahlia,Cold,30m
T30ECK66,dahlia,Cold,30m
T30ECK100,violet,Cold,30m
T30ECK101,violet,Cold,30m
T30ECK102,violet,Cold,30m
T120ECK31,daisy,Cold,120m
T120ECK32,daisy,Cold,120m
T120ECK33,daisy,Cold,120m
T120ECK67,dahlia,Cold,120m
T120ECK68,dahlia,Cold,120m
T120ECK69,dahlia,Cold,120m
T120ECK103,violet,Cold,120m
T120ECK104,violet,Cold,120m
T120ECK105,violet,Cold,120m
T720ECK34,daisy,Cold,720m
T720ECK36,daisy,Cold,720m
T720ECK70,dahlia,Cold,720m
T720ECK72,dahlia,Cold,720m
T720ECK106,violet,Cold,720m
T720ECK107,violet,Cold,720m
T720ECK108,violet,Cold,720m